thread_id,thread_text,time,cleaned,tweetnlp_topic
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926,coworker mental breakdown yesterday work fired  husband come pick stuff today forcibly removed building roommate basically catatonic  used fun loving metalhead type guy played warhammer  since sold models  sold guitar  works comes home watches vtubers dark room  barely even see anymore live  bedroom apartment go outside see ugly  mishaped  brown faces  look miserable try invite friends coworkers something  anything  almost always say  tired  broke  sad slavery smashed faces unprecedented scale  kikes top greedy  full satanic sadism  even make sense beat slaves hard  makes unproductive,['diaries_&_daily_life']
p501101001,"the stock market is going down, tesla is deading, the maga leaders and running from the town halls, and judges are fucking over trump on every levelhttps://www.youtube.com/watch?v=H6XAwrnWADw&t=2425s[Embed]",03/21/25(Fri)14:07:25No.501101001,stock market going  tesla deading  maga leaders running town halls  judges fucking trump every levelhttps www youtube com watch v hxawrnwadw embed ,['news_&_social_concern']
p501092555,"Protestantism is to me a sort of anti-religion. Over the course of its existence, it has shattered the cultural patrimony of Europe and denuded Christianity of all its venerable religious traditions. It led Europeans down a slippery slope that passed by Liberalism, Deism and the so-called Enlightenment and crapped us out in Nihilismland, where marxist thugs, satanists and positivist pointyheads all putt about. I can't imagine why anyone wanting to convert to Christianity would choose a protestant denomination as their first preference.",03/21/25(Fri)12:13:04No.501092555,protestantism sort anti religion  course existence  shattered cultural patrimony europe denuded christianity venerable religious traditions  led europeans slippery slope passed liberalism  deism called enlightenment crapped us nihilismland  marxist thugs  satanists positivist pointyheads putt  imagine anyone wanting convert christianity would choose protestant denomination first preference ,['news_&_social_concern']
p501098829,"So what happened to the ""4d chess"" of Trump strong arming Netanyahu? I thought Netanyahu was bending the knee to Drumpf?How is this ""peace through strength""?",03/21/25(Fri)13:38:12No.501098829,happened  chess  trump strong arming netanyahu  thought netanyahu bending knee drumpf  peace strength ,['news_&_social_concern']
p501102264,Why would the government hide UFOs? Who cares if aliens visited,03/21/25(Fri)14:23:30No.501102264,would government hide ufos  cares aliens visited,['news_&_social_concern']
p501084235,Why are Americans never able to refute European leftists?,03/21/25(Fri)10:15:01No.501084235,americans never able refute european leftists ,['news_&_social_concern']
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978,go woke  go br ,['news_&_social_concern']
p501092016,Don't complain that women don't want to be with you if you're still acting like a fucking child in your 20s.,03/21/25(Fri)12:04:51No.501092016,complain women want still acting like fucking child ,['news_&_social_concern']
p501104654,>government doesn't care how many of them will die>allies don't care>they don't careare ukranians the most hated and worthless nation in the world?,03/21/25(Fri)14:53:48No.501104654, government care many die allies care careare ukranians hated worthless nation world ,['news_&_social_concern']
p501104647,What implications does this development have? Will or can AI replace all of useless eaters?https://www.livescience.com/technology/computing/china-achieves-quantum-supremacy-claim-with-new-chip-1-quadrillion-times-faster-than-the-most-powerful-supercomputers,03/21/25(Fri)14:53:40No.501104647,implications development  ai replace useless eaters https www livescience com technology computing china achieves quantum supremacy claim new chip  quadrillion times faster powerful supercomputers,['science_&_technology']
p501105026,"The Prophet Muhammad (PBUH) was a nigger.If he wasn't Black, why was there a law saying you couldn't say he was Black? Are there laws about Donald Trump or Napoleon saying you couldn't say they are black?One of the reasons he went on his crusade was to make whitoids SUBMIT (Islam means submit). Because even as Christians, white ""people"" are PRICKS.",03/21/25(Fri)14:58:17No.501105026,prophet muhammad  pbuh  nigger black  law saying say black  laws donald trump napoleon saying say black one reasons went crusade make whitoids submit  islam means submit  even christians  white  people  pricks ,['news_&_social_concern']
p501105906,>Make America Great Again means Make American Great Britain Again,03/21/25(Fri)15:09:37No.501105906, make america great means make american great britain,['news_&_social_concern']
p501104049,>date a woman 13 years older than you>get called a pedo,03/21/25(Fri)14:46:19No.501104049, date woman  years older get called pedo,['diaries_&_daily_life']
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083,orange retard gets rebuffed superior man,['diaries_&_daily_life']
p501106262,It appears a Republican victory in 2028 is quite certain.,03/21/25(Fri)15:14:36No.501106262,appears republican victory  quite certain ,['news_&_social_concern']
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505, make nigger slave turned sword holder samurai make sex japanese royalty make destroy shinto shrines make kill actual samurai make japanese people non binary make white man antagonist gamewhy would indians  japan ,['news_&_social_concern']
p501051364,MORE DOCSITS RELEVANTISRAELI NUCLEAR PROGRAM SPOTTEDhttps://www.archives.gov/files/research/jfk/releases/2025/0318/206-10001-10012.pdf (pg5),03/20/25(Thu)22:32:38No.501051364,docsits relevantisraeli nuclear program spottedhttps www archives gov files research jfk releases      pdf  pg ,"['news_&_social_concern', 'science_&_technology']"
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505, make nigger slave turned sword holder samurai make sex japanese royalty make destroy shinto shrines make kill actual samurai make japanese people non binary make white man antagonist gamewhy would indians  japan ,['news_&_social_concern']
p501101137,When did you realize abortion is the one issue that proves the left are massive hypocrites?No one who is pro-abortion can ever claim to be pro-human rights or pro-equality. The mass-murder of babies in the womb is the biggest genocide in human history.,03/21/25(Fri)14:09:10No.501101137,realize abortion one issue proves left massive hypocrites one pro abortion ever claim pro human rights pro equality  mass murder babies womb biggest genocide human history ,['news_&_social_concern']
p501094167,Should all russians be expelled from European countries? I think it would lead to lasting peace.,03/21/25(Fri)12:35:14No.501094167,russians expelled european countries  think would lead lasting peace ,['news_&_social_concern']
p501097641,Not like we can see into their soul or some bollocks,03/21/25(Fri)13:22:16No.501097641,like see soul bollocks,['music']
p501104470,"Really?, look at it!!You are telling me that somebody bought this fucking shit?? Get the fuck out of here!!!",03/21/25(Fri)14:51:32No.501104470,really  look telling somebody bought fucking shit  get fuck ,['diaries_&_daily_life']
p501099426,You can't be racist and pagan.You can't be pro-white and pagan.You can't be pro-christian and pagan.You can't be anti-semetic and pagan.You can't be a nazi and a pagan at the same time.,03/21/25(Fri)13:46:30No.501099426,racist pagan pro white pagan pro christian pagan anti semetic pagan nazi pagan time ,['news_&_social_concern']
p501066789,I didn’t feel it when I was younger. Now it’s like this cold void is constantly and consistently pulling my soul. What happens at the moment you die? Does consciousness stop? Do we go to a different realm? Do we collapse into the size of an atom? I’m fucking terrified . I can’t really watch and movies or television anymore . It’s like my consciousness is so aware of reality that I disassociate within. These feelings got worse the more I dwelled into gnostic thought processes.,03/21/25(Fri)03:56:09No.501066789,didn’t feel younger  it’s like cold void constantly consistently pulling soul  happens moment die  consciousness stop  go different realm  collapse size atom  i’m fucking terrified   can’t really watch movies television anymore   it’s like consciousness aware reality disassociate within  feelings got worse dwelled gnostic thought processes ,['film_tv_&_video']
p501105887,RAF now have the F-47 technology. No more illegal military experimentation on us! Nato pilot is DEAD,03/21/25(Fri)15:09:23No.501105887,raf f  technology  illegal military experimentation us  nato pilot dead,"['news_&_social_concern', 'science_&_technology']"
p501105048,"""Those who cheered as J-6 American prisoners were locked in solitary for 18 months without trial, now suddenly fight tooth and nail for foreign terrorists’ 'due process.'"" — Buck Sexton",03/21/25(Fri)14:58:33No.501105048, cheered j  american prisoners locked solitary  months without trial  suddenly fight tooth nail foreign terrorists’  due process  — buck sexton,['news_&_social_concern']
p501088511,Can you go too far with a whore?,03/21/25(Fri)11:19:06No.501088511,go far whore ,[]
p501100027,Why are Americans the only people in the world who defend (((car dependency)))?,03/21/25(Fri)13:55:03No.501100027,americans people world defend  car dependency ,['news_&_social_concern']
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389, ‘the view’ whoopi goldberg meltdown says “enraged” donald trump saying “there definite anti white feeling country” “yeah  sir  nobody family hung  nobody family chased color skin  dare  there’s anti white issue  perpetrating anti humanist issues here”https youtube com shorts pu uzpqgbay si ijpsagotinsbg,['news_&_social_concern']
p501103530,"White aryan chad from South india hereI dont understandDo white fathers ever tell their snow bunnies to dress modestly, be fully covered, and not be promiscuous? Or is it just Western culture, since women in the East don’t engage in that cuckoldry?",03/21/25(Fri)14:39:43No.501103530,white aryan chad south india herei dont understanddo white fathers ever tell snow bunnies dress modestly  fully covered  promiscuous  western culture  since women east don’t engage cuckoldry ,"['fashion_&_style', 'news_&_social_concern']"
p501096816,Realistically what do I do? Even if I pay $1000 a month it will take me 68 months + daily compounded interest,03/21/25(Fri)13:11:22No.501096816,realistically  even pay   month take  months   daily compounded interest,['business_&_entrepreneurs']
p501102658,"antifa violence, endless new waves of vandalism, and now ordering assassination-by-cop on peoplewtf else do they need to do before people step in?or are they just hoping the right will take matters into their own hands so they can blame it on them?",03/21/25(Fri)14:28:41No.501102658,antifa violence  endless new waves vandalism  ordering assassination cop peoplewtf else need people step hoping right take matters hands blame ,['news_&_social_concern']
p501100490,How is Trump destroying america? Name every step he is taking on this direction.,03/21/25(Fri)14:01:14No.501100490,trump destroying america  name every step taking direction ,['news_&_social_concern']
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978,go woke  go br ,['news_&_social_concern']
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083,orange retard gets rebuffed superior man,['diaries_&_daily_life']
p501106021,WHY does this keep HAPPENING?!?!https://www.dailymail.co.uk/news/article-14515317/Married-teacher-underage-boys-gang-bang-scream-mask-brittany-fortinberry.html,03/21/25(Fri)15:11:07No.501106021,keep happening https www dailymail co uk news article  married teacher underage boys gang bang scream mask brittany fortinberry html,['news_&_social_concern']
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389, ‘the view’ whoopi goldberg meltdown says “enraged” donald trump saying “there definite anti white feeling country” “yeah  sir  nobody family hung  nobody family chased color skin  dare  there’s anti white issue  perpetrating anti humanist issues here”https youtube com shorts pu uzpqgbay si ijpsagotinsbg,['news_&_social_concern']
p501099362,notice something,03/21/25(Fri)13:45:26No.501099362,notice something,['diaries_&_daily_life']
p501105452,"Why should I hate non-whites, they have never actually caused any harm to me",03/21/25(Fri)15:03:34No.501105452,hate non whites  never actually caused harm,['news_&_social_concern']
p501105452,"Why should I hate non-whites, they have never actually caused any harm to me",03/21/25(Fri)15:03:34No.501105452,hate non whites  never actually caused harm,['news_&_social_concern']
p501066789,I didn’t feel it when I was younger. Now it’s like this cold void is constantly and consistently pulling my soul. What happens at the moment you die? Does consciousness stop? Do we go to a different realm? Do we collapse into the size of an atom? I’m fucking terrified . I can’t really watch and movies or television anymore . It’s like my consciousness is so aware of reality that I disassociate within. These feelings got worse the more I dwelled into gnostic thought processes.,03/21/25(Fri)03:56:09No.501066789,didn’t feel younger  it’s like cold void constantly consistently pulling soul  happens moment die  consciousness stop  go different realm  collapse size atom  i’m fucking terrified   can’t really watch movies television anymore   it’s like consciousness aware reality disassociate within  feelings got worse dwelled gnostic thought processes ,['film_tv_&_video']
