thread_id,thread_text,time
p501102063,Are the orcs responsible for what Sauron orders them?Pic unrelated,03/21/25(Fri)14:20:49No.501102063
p501095545,Have you thanked a leftist today for saving the country?,03/21/25(Fri)12:54:09No.501095545
p501097253,"india failed to attract factories from china, what went wrong?>https://x.com/BeijingDai/status/1903078818258329813/photo/1Reuters reported that India has abandoned its four-year, $23 billion PLI program. The sole purpose of this plan is to attract manufacturing to leave China and come to India, increasing the proportion of manufacturing in the Indian economy to 25% by 2025. However, the reality is that the proportion of manufacturing in India's GDP has decreased from 16% in 2015 to 13% now.India's GDP is still growing at a rate of around 6%, but mainly from the service industry. As long as India cannot succeed in manufacturing, its threat to China will only be verbal. The Chinese should never underestimate this threat. The Indians have fully demonstrated their hostility in the past few years. Of course, they lack the ability to realize this threat with poor manufacturing.I have always said that Modi's biggest strategic mistake is to make the Chinese greatly increase their vigilance against India. The Chinese government allowed Chinese mobile phones, such as Xiaomi and Vivo, to invest in India before 2019, and the mobile phone industry is now basically the only highlight of Indian manufacturing, but China will never make such a mistake again.https://www.reuters.com/markets/emerging/indias-23-bln-plan-rival-china-factories-lapse-after-it-disappoints-2025-03-21/Exclusive: India's $23 billion plan to rival China factories to lapse after it disappoints",03/21/25(Fri)13:16:54No.501097253
p501104178,The libs are slated to get a majority now. Is accelerationism the only answer at this point?,03/21/25(Fri)14:47:55No.501104178
p501081812,You can't refute this. This one and the teeth always convinces regular people.,03/21/25(Fri)09:36:08No.501081812
p501105917,I find this disrespectful honestly. Does the CIA even bother trying at all anymore?,03/21/25(Fri)15:09:50No.501105917
p501103637,"She is objectively nasty, has a world class RBF, and is a TDS nut.Famously, destroyed Sarah Palin with that fish in a barrel interview.Despite this, there is barely anything negative about her found through search results on Google and Youtube. How can she not have hundreds of compilations of her being a cunt???She is also protected on Google search autocomplete...Does anyone have an explanation for the lack of negativity online? Is she a mockingbird asset?",03/21/25(Fri)14:41:06No.501103637
p501101590,Is marriage just outdated? Why do people still push this nonsense in society?,03/21/25(Fri)14:15:05No.501101590
p501101137,When did you realize abortion is the one issue that proves the left are massive hypocrites?No one who is pro-abortion can ever claim to be pro-human rights or pro-equality. The mass-murder of babies in the womb is the biggest genocide in human history.,03/21/25(Fri)14:09:10No.501101137
p501105615,"Remember Argentina used to be 85% white and the rest light-skinned mestizosMany years ago, Europeans stopped coming and immigrants from Latin American countries began to come,mainly people from Paraguay and Bolivia.Now the native population is being replaced by brown peopleIn Argentina all this is completely ignoredthe kids are brainwashed by telling them that the argentinian is the mestizosome people even deny that the country was ever whitehttps://www.amren.com/features/2017/04/argentina-a-mirror-of-your-future-buenos-aires-latin-america/",03/21/25(Fri)15:05:45No.501105615
p501099937,"At the end of the new Assassin's Creed game, the hulking black bull beats the absolute shit out of the boss.While this is happening, drums, Japanese rap and the words CHING CHONG WHA CHA NINJAAAAAA are song in an African chant. You can't make this shit up.Is this the final gasp of hyper cucked white lib produced games? Will this radicalize the Niponese? Will Yasuke impregnate the great Oda Nobunaga's ripe virgin sister? You be the judge /pol/",03/21/25(Fri)13:53:51No.501099937
p501102838,"Trump's full response:""Well, you know, I was given the task of releasing that, because many presidents have gone through it and they haven’t released. And I said, release. We even released Social Security numbers. I didn’t want anything deleted. They said, sir, what about Social Security? People long gone. But they’re long gone, so I can’t imagine.But I said, if you don’t delete it, if you do delete it, we have people that are going to say, why did you delete it? There’s something in there. So we gave Social Security, and we gave everything. And the rest is for you to look at, Peter. You’re going to see whether or not you see anything. But we’ve given it. We’re doing it with Dr. Martin Luther King, too. They’re preparing all of that. They’re going to release everything. and whoever else they want. I mean, you know, we have nothing. We really have nothing to hide. We shouldn’t have.You know, when a lot of time goes by. But with the Kennedy files, in particular, they were going crazy on them. I don’t think there’s anything. that’s earth-shattering, but you’ll have to make that determination. In those, you know, it’s 80,000. It’s actually 88,000. And we have some additional things, as you know, come out today. And for that, you can go to the offices and you can see whatever you want to see. Everything is out there, totally open. The additional stuff is available later on today. You go over to the offices and you can have it immediately. And you’ll make a determination.""https://www.mediaite.com/tv/trump-cant-answer-when-peter-doocy-asks-simple-question-who-killed-kennedy/It's a good thing those 80,000 JFK files were released! Promises made, promises kept!",03/21/25(Fri)14:31:12No.501102838
p501099726,If Founding Stock Americans (like Bill the Butcher) thought Euro immigrants like Irish/Italian Catholics were bad how would they feel about Indian/Mexican mass Immigration?,03/21/25(Fri)13:50:55No.501099726
p501080179,Who convinced the majority that shitalians are white? They’re literally brown semitic tomatokikes,03/21/25(Fri)09:05:38No.501080179
p501100424,"These morons were using the wrong glue.>Tesla has been forced to recall every Cybertruck it has ever sold after safety regulators raised an issue with the glue used to attach one of its stainless steel panels.>The US National Highway Traffic Safety Administration (NHTSA) will oversee the recall of 46,100 Cybertrucks, marking the eighth recall for Tesla’s electric pickup truck since deliveries to customers began just over a year ago.>A report from the NHTSA warned that an exterior panel that runs along the left and right side of the windscreen can detach while driving, creating a hazard for other drivers.https://www.the-independent.com/tech/tesla-cybertruck-recall-glue-panels-musk-b2719222.htmlRemind me why it's ""illegal"" to boycott these death traps again?",03/21/25(Fri)14:00:29No.501100424
p501094596,">Heathrow to resume some flights and hopes to run full operation tomorrowhttps://www.bbc.co.uk/news/live/cly24zvvwxlt>Putin would breach Ukraine deal if it is not defended, says PMhttps://www.bbc.co.uk/news/articles/cwyd0v3344qo>Government borrowing higher than expected in Februaryhttps://www.bbc.co.uk/news/articles/c0jglw54yvyo>Badenoch warns Tories of difficult local electionshttps://www.bbc.co.uk/news/articles/cvg5dpl1j4zo>Uber offers 20 hours of free childcare in bid to lure female drivershttps://www.bbc.co.uk/news/articles/cgm1pmdlvx8o",03/21/25(Fri)12:41:36No.501094596
p501095590,Should elon be in jail for market manipulation?,03/21/25(Fri)12:54:50No.501095590
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926
p501101001,"the stock market is going down, tesla is deading, the maga leaders and running from the town halls, and judges are fucking over trump on every levelhttps://www.youtube.com/watch?v=H6XAwrnWADw&t=2425s[Embed]",03/21/25(Fri)14:07:25No.501101001
p501092555,"Protestantism is to me a sort of anti-religion. Over the course of its existence, it has shattered the cultural patrimony of Europe and denuded Christianity of all its venerable religious traditions. It led Europeans down a slippery slope that passed by Liberalism, Deism and the so-called Enlightenment and crapped us out in Nihilismland, where marxist thugs, satanists and positivist pointyheads all putt about. I can't imagine why anyone wanting to convert to Christianity would choose a protestant denomination as their first preference.",03/21/25(Fri)12:13:04No.501092555
p501098829,"So what happened to the ""4d chess"" of Trump strong arming Netanyahu? I thought Netanyahu was bending the knee to Drumpf?How is this ""peace through strength""?",03/21/25(Fri)13:38:12No.501098829
p501102264,Why would the government hide UFOs? Who cares if aliens visited,03/21/25(Fri)14:23:30No.501102264
p501084235,Why are Americans never able to refute European leftists?,03/21/25(Fri)10:15:01No.501084235
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978
p501092016,Don't complain that women don't want to be with you if you're still acting like a fucking child in your 20s.,03/21/25(Fri)12:04:51No.501092016
p501104654,>government doesn't care how many of them will die>allies don't care>they don't careare ukranians the most hated and worthless nation in the world?,03/21/25(Fri)14:53:48No.501104654
p501104647,What implications does this development have? Will or can AI replace all of useless eaters?https://www.livescience.com/technology/computing/china-achieves-quantum-supremacy-claim-with-new-chip-1-quadrillion-times-faster-than-the-most-powerful-supercomputers,03/21/25(Fri)14:53:40No.501104647
p501105026,"The Prophet Muhammad (PBUH) was a nigger.If he wasn't Black, why was there a law saying you couldn't say he was Black? Are there laws about Donald Trump or Napoleon saying you couldn't say they are black?One of the reasons he went on his crusade was to make whitoids SUBMIT (Islam means submit). Because even as Christians, white ""people"" are PRICKS.",03/21/25(Fri)14:58:17No.501105026
p501105906,>Make America Great Again means Make American Great Britain Again,03/21/25(Fri)15:09:37No.501105906
p501104049,>date a woman 13 years older than you>get called a pedo,03/21/25(Fri)14:46:19No.501104049
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083
p501106262,It appears a Republican victory in 2028 is quite certain.,03/21/25(Fri)15:14:36No.501106262
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505
p501051364,MORE DOCSITS RELEVANTISRAELI NUCLEAR PROGRAM SPOTTEDhttps://www.archives.gov/files/research/jfk/releases/2025/0318/206-10001-10012.pdf (pg5),03/20/25(Thu)22:32:38No.501051364
p501081505,>make a nigger slave turned sword holder a Samurai>make him have sex with Japanese royalty>make him destroy Shinto shrines>make him kill actual Samurai>make japanese people non binary>make a white man an antagonist of the gameWhy would Indians do this? What do they have against Japan?,03/21/25(Fri)09:30:35No.501081505
p501101137,When did you realize abortion is the one issue that proves the left are massive hypocrites?No one who is pro-abortion can ever claim to be pro-human rights or pro-equality. The mass-murder of babies in the womb is the biggest genocide in human history.,03/21/25(Fri)14:09:10No.501101137
p501094167,Should all russians be expelled from European countries? I think it would lead to lasting peace.,03/21/25(Fri)12:35:14No.501094167
p501097641,Not like we can see into their soul or some bollocks,03/21/25(Fri)13:22:16No.501097641
p501104470,"Really?, look at it!!You are telling me that somebody bought this fucking shit?? Get the fuck out of here!!!",03/21/25(Fri)14:51:32No.501104470
p501099426,You can't be racist and pagan.You can't be pro-white and pagan.You can't be pro-christian and pagan.You can't be anti-semetic and pagan.You can't be a nazi and a pagan at the same time.,03/21/25(Fri)13:46:30No.501099426
p501066789,I didn’t feel it when I was younger. Now it’s like this cold void is constantly and consistently pulling my soul. What happens at the moment you die? Does consciousness stop? Do we go to a different realm? Do we collapse into the size of an atom? I’m fucking terrified . I can’t really watch and movies or television anymore . It’s like my consciousness is so aware of reality that I disassociate within. These feelings got worse the more I dwelled into gnostic thought processes.,03/21/25(Fri)03:56:09No.501066789
p501105887,RAF now have the F-47 technology. No more illegal military experimentation on us! Nato pilot is DEAD,03/21/25(Fri)15:09:23No.501105887
p501105048,"""Those who cheered as J-6 American prisoners were locked in solitary for 18 months without trial, now suddenly fight tooth and nail for foreign terrorists’ 'due process.'"" — Buck Sexton",03/21/25(Fri)14:58:33No.501105048
p501088511,Can you go too far with a whore?,03/21/25(Fri)11:19:06No.501088511
p501100027,Why are Americans the only people in the world who defend (((car dependency)))?,03/21/25(Fri)13:55:03No.501100027
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389
p501103530,"White aryan chad from South india hereI dont understandDo white fathers ever tell their snow bunnies to dress modestly, be fully covered, and not be promiscuous? Or is it just Western culture, since women in the East don’t engage in that cuckoldry?",03/21/25(Fri)14:39:43No.501103530
p501096816,Realistically what do I do? Even if I pay $1000 a month it will take me 68 months + daily compounded interest,03/21/25(Fri)13:11:22No.501096816
p501102658,"antifa violence, endless new waves of vandalism, and now ordering assassination-by-cop on peoplewtf else do they need to do before people step in?or are they just hoping the right will take matters into their own hands so they can blame it on them?",03/21/25(Fri)14:28:41No.501102658
p501100490,How is Trump destroying america? Name every step he is taking on this direction.,03/21/25(Fri)14:01:14No.501100490
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978
p501103083,The orange retard gets rebuffed by the superior man,03/21/25(Fri)14:34:27No.501103083
p501106021,WHY does this keep HAPPENING?!?!https://www.dailymail.co.uk/news/article-14515317/Married-teacher-underage-boys-gang-bang-scream-mask-brittany-fortinberry.html,03/21/25(Fri)15:11:07No.501106021
p501089389,">‘The View’ Whoopi Goldberg has a MELTDOWN and says she is “enraged” by Donald Trump saying that “There is a definite anti-White feeling in the country”>“Yeah, Sir. Nobody in your family was hung. Nobody in your family was chased because of the color of their skin. How dare you? There’s no anti-white issue here. You are perpetrating anti-humanist issues here”https://youtube.com/shorts/pu_uzPQgBaY?si=ijPsAGO98TINSBG6",03/21/25(Fri)11:31:43No.501089389
p501099362,notice something,03/21/25(Fri)13:45:26No.501099362
p501105452,"Why should I hate non-whites, they have never actually caused any harm to me",03/21/25(Fri)15:03:34No.501105452
p501105452,"Why should I hate non-whites, they have never actually caused any harm to me",03/21/25(Fri)15:03:34No.501105452
p501066789,I didn’t feel it when I was younger. Now it’s like this cold void is constantly and consistently pulling my soul. What happens at the moment you die? Does consciousness stop? Do we go to a different realm? Do we collapse into the size of an atom? I’m fucking terrified . I can’t really watch and movies or television anymore . It’s like my consciousness is so aware of reality that I disassociate within. These feelings got worse the more I dwelled into gnostic thought processes.,03/21/25(Fri)03:56:09No.501066789
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985
p501097122,>BALTICS 100% WHITEBALTICS 100% WHITE>BALTICS 100% WHITEBALTICS 100% WHITE>BALTICS 100% WHITE,03/21/25(Fri)13:15:09No.501097122
p501096816,Realistically what do I do? Even if I pay $1000 a month it will take me 68 months + daily compounded interest,03/21/25(Fri)13:11:22No.501096816
p501100646,Am I the only organic anon here?,03/21/25(Fri)14:03:14No.501100646
p501089839,"Sorry Britbros, but coffee is so much more delicious than tea. I'm on my 10th cup for the day. Black, of course. No sugar. The only way to drink coffee.",03/21/25(Fri)11:37:42No.501089839
p501105839,Trump didn't make any remarks about this dude's outfit uh. Wear a suit or else I'm going INSANEEEEEEE. HAVE YOU SAID THANKS? AAAAAAH,03/21/25(Fri)15:08:39No.501105839
p501064137,"I'm proud of Ukrainians for inflicting so much pain and suffering on scum fuck Russians invading Europe.It has been a joy to watch all the gore kino, I literally feel high when I watch Russian invaders suffer, Schadenfreude is one hell of a drug.Russians should learn not to fuck with Europeans.",03/21/25(Fri)02:52:06No.501064137
p501106184,They don’t have enough votes to impeach them but California Rep. Darrell Issa’s No Rogue Rulings Act will be on the floor in early April. Also going to cut funding to federal courts and even break up system of lower courts and strip district judges from being allows to put nation wide injunctions. Dems might try to filibuster it but going to have to go on record and can easily be used as attacks when they are up for reelection,03/21/25(Fri)15:13:25No.501106184
p501099679,,03/21/25(Fri)13:50:06No.501099679
p501104654,>government doesn't care how many of them will die>allies don't care>they don't careare ukranians the most hated and worthless nation in the world?,03/21/25(Fri)14:53:48No.501104654
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926
p501096666,"Hitler wrote this 100 years ago in Mein Kampf, how the fuck can anyone still deny it when he has predicted EVERYTHING. You're literally retarded if you can't see how unlikely it would be for him to just guess and arrive at almost prophetic writing. It's the Jews.",03/21/25(Fri)13:09:25No.501096666
p501100490,How is Trump destroying america? Name every step he is taking on this direction.,03/21/25(Fri)14:01:14No.501100490
p501086999,Would you buy a beautiful Tesla car to support Elon Musk?,03/21/25(Fri)10:56:53No.501086999
p501097253,"india failed to attract factories from china, what went wrong?>https://x.com/BeijingDai/status/1903078818258329813/photo/1Reuters reported that India has abandoned its four-year, $23 billion PLI program. The sole purpose of this plan is to attract manufacturing to leave China and come to India, increasing the proportion of manufacturing in the Indian economy to 25% by 2025. However, the reality is that the proportion of manufacturing in India's GDP has decreased from 16% in 2015 to 13% now.India's GDP is still growing at a rate of around 6%, but mainly from the service industry. As long as India cannot succeed in manufacturing, its threat to China will only be verbal. The Chinese should never underestimate this threat. The Indians have fully demonstrated their hostility in the past few years. Of course, they lack the ability to realize this threat with poor manufacturing.I have always said that Modi's biggest strategic mistake is to make the Chinese greatly increase their vigilance against India. The Chinese government allowed Chinese mobile phones, such as Xiaomi and Vivo, to invest in India before 2019, and the mobile phone industry is now basically the only highlight of Indian manufacturing, but China will never make such a mistake again.https://www.reuters.com/markets/emerging/indias-23-bln-plan-rival-china-factories-lapse-after-it-disappoints-2025-03-21/Exclusive: India's $23 billion plan to rival China factories to lapse after it disappoints",03/21/25(Fri)13:16:54No.501097253
p501088511,Can you go too far with a whore?,03/21/25(Fri)11:19:06No.501088511
p501105178,This is what a master troll looks like.,03/21/25(Fri)15:00:10No.501105178
p501100625,Reminder that you WILL be labeled as a traitor for not supporting this.,03/21/25(Fri)14:02:52No.501100625
p501098958,>kill all of our domestic chickens because fake pcr test said to>Have no eggs>Beg for eggs from countries that didn't test or genocide their chickens,03/21/25(Fri)13:40:04No.501098958
p501103175,,03/21/25(Fri)14:35:30No.501103175
p501094167,Should all russians be expelled from European countries? I think it would lead to lasting peace.,03/21/25(Fri)12:35:14No.501094167
p501099679,,03/21/25(Fri)13:50:06No.501099679
p501101168,"Seriously bros, what actually stands between them and the English channel? Besides Ukrainian villages I meean. One they finish meatgrinding Pokrovsk, what stops them before reaching Calais?",03/21/25(Fri)14:09:36No.501101168
p501076978,"GO WOKE, GO BR...",03/21/25(Fri)08:05:40No.501076978
p501090115,>Jewish female humourThis made me chuckle,03/21/25(Fri)11:41:23No.501090115
p501101985,"For whoever cares to hear about it, there is massive defrauding of the taxpayers occurring at FCI Thomson in Illinois. It is a federal prison that used to be a state super max, but it got shut down after being deemed inhumane. The feds bought the vacant building and turned it into a low-security prison, and now have about 2000 inmates there. Approximately half the staff at FCI Thomson used to work at the super-max, and during that time their pay was substantially higher. Why? Because at a super-max, staff members automatically get hazard pay.So, how is the administration trying to make up for the pay reduction? Why, by putting the entire prison on lockdown continuously of course.In the feds, going on lockdown means keeping all the inmates in the 2 man cells continuously, which effectively turns the whole prison into the SHU. It has the side-effect of cutting the inmates off from any physical means of communication to the outside. And it also has the side-effect of ensuring that all the guards and staff make huge amounts of overtime whilst actually performing less work. Although their shifts become longer, all the programming and most administrative request processes become disabled. The guards at Thomson go a little bit further by only letting the kitchen staff out for a few hours during lockdowns, so the guards do not even have to take over cooking / passing out the food either (except for unlocking the small slot on the door).The general idea behind lockdowns in the feds is that they are supposed to be an extraordinary measure in response to some extreme danger. Basically, if there's a race riot or a gang war, a prison will go on lockdown. Its not supposed to be the normal status of a prison, because it will eventually make people go violent and crazy. At FCI Thomson, they spent ~3 months out of the last year on lockdown, and so far in 2025 they have spent 40 days on lockdown. We are only 3 months into the year, and this is for low-security inmates!",03/21/25(Fri)14:19:52No.501101985
p501094596,">Heathrow to resume some flights and hopes to run full operation tomorrowhttps://www.bbc.co.uk/news/live/cly24zvvwxlt>Putin would breach Ukraine deal if it is not defended, says PMhttps://www.bbc.co.uk/news/articles/cwyd0v3344qo>Government borrowing higher than expected in Februaryhttps://www.bbc.co.uk/news/articles/c0jglw54yvyo>Badenoch warns Tories of difficult local electionshttps://www.bbc.co.uk/news/articles/cvg5dpl1j4zo>Uber offers 20 hours of free childcare in bid to lure female drivershttps://www.bbc.co.uk/news/articles/cgm1pmdlvx8o",03/21/25(Fri)12:41:36No.501094596
p501104439,What are the implications of this?,03/21/25(Fri)14:51:09No.501104439
p501088511,Can you go too far with a whore?,03/21/25(Fri)11:19:06No.501088511
p501092016,Don't complain that women don't want to be with you if you're still acting like a fucking child in your 20s.,03/21/25(Fri)12:04:51No.501092016
p501105887,RAF now have the F-47 technology. No more illegal military experimentation on us! Nato pilot is DEAD,03/21/25(Fri)15:09:23No.501105887
p501091388,What are the political implications of black murders being portrayed as white?,03/21/25(Fri)11:56:35No.501091388
p501090115,>Jewish female humourThis made me chuckle,03/21/25(Fri)11:41:23No.501090115
p501105917,I find this disrespectful honestly. Does the CIA even bother trying at all anymore?,03/21/25(Fri)15:09:50No.501105917
p501092016,Don't complain that women don't want to be with you if you're still acting like a fucking child in your 20s.,03/21/25(Fri)12:04:51No.501092016
p501101001,"the stock market is going down, tesla is deading, the maga leaders and running from the town halls, and judges are fucking over trump on every levelhttps://www.youtube.com/watch?v=H6XAwrnWADw&t=2425s[Embed]",03/21/25(Fri)14:07:25No.501101001
p501106782,Amerimutt post of the day.,03/21/25(Fri)15:21:19No.501106782
p501100646,Am I the only organic anon here?,03/21/25(Fri)14:03:14No.501100646
p501103637,"She is objectively nasty, has a world class RBF, and is a TDS nut.Famously, destroyed Sarah Palin with that fish in a barrel interview.Despite this, there is barely anything negative about her found through search results on Google and Youtube. How can she not have hundreds of compilations of her being a cunt???She is also protected on Google search autocomplete...Does anyone have an explanation for the lack of negativity online? Is she a mockingbird asset?",03/21/25(Fri)14:41:06No.501103637
p501102661,"Yes, we need to convince our leftists here to leave to europe, make all 50 states red, europe would love them",03/21/25(Fri)14:28:43No.501102661
p501103773,Even the comments put Pol/ to shame,03/21/25(Fri)14:42:46No.501103773
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926
p501101009,GENERATION ZYKLON AWAKENShttps://x.com/AFpost/status/1902892623074930912,03/21/25(Fri)14:07:29No.501101009
p501084926,"My coworker had a mental breakdown yesterday at work and was fired. Her husband had to come pick up her stuff today because she was forcibly removed from the building.My roommate is basically catatonic now. He used to be a fun loving metalhead type guy that played Warhammer, he has since sold his all his models, sold his guitar, and only works and comes home and watches vtubers in his dark room. I barely even SEE him anymore and we live in a 2 bedroom apartment.I go outside all I see are ugly, mishaped, brown faces. And they all look miserable.I try to invite friends and coworkers out to do something, Anything. They almost always say no. Too tired. Too broke. Too sad.Our slavery is being smashed in our faces on an unprecedented scale. These kikes at the top aren't just greedy, this is full on satanic sadism. It doesn't even make sense to beat down the slaves this hard, it makes them unproductive",03/21/25(Fri)10:25:45No.501084926
p501080179,Who convinced the majority that shitalians are white? They’re literally brown semitic tomatokikes,03/21/25(Fri)09:05:38No.501080179
